tools,precision,recall,repo_name_meta,repo_version,author_score,license_score,version_score,count
syft,0.1769,0.1239,0.4489,0.0,0.0,0.0,0.18,100
gh-sbom,0.7384,0.585,0.0,0.0,0.0,0.0872,0.643,36
ort,0.1201,0.169,0.0,0.0,0.0,0.1395,0.0595,84
scancode,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100
cdxgen,0.2978,0.4296,0.2057,0.0188,0.1815,0.1476,0.1531,98
