tools,precision,recall,doc_name,originator_score_r,supplier_score_r,copyright_score_r,version_score_r,dL_score_r,licenseC_score_r,licenseD_score_r,originator_score,supplier_score,version_score,dL_score,licenseC_score,licenseD_score,count
syft,0.1316,0.1239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.18,0.012,0.0239,0.0239,100
gh-sbom,0.3876,0.4102,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1481,0.4672,0.0163,0.0756,0.0,96
ort,0.1086,0.4505,0.208,0.0,0.0,0.3878,0.0958,0.0119,0.1548,0.2262,0.0,0.0,0.0595,0.0366,0.0101,0.2093,84
sbom-tool,0.145,0.2438,0.7349,0.0,0.515,0.32,0.0,0.03,0.18,0.18,0.0,0.0969,0.1107,0.0085,0.1849,0.0175,100
