tool,names,author,type,bom_ref,purl,cpe,licenses,version,copyright
syft,0.9362,0.0005,0.9362,0.9362,0.5665,0.5695,0.0407,0.57,0.0
gh-sbom,1.0,0.0,1.0,0.0,1.0,0.0,0.4526,1.0,0.0
ort,0.0658,0.0,0.0658,0.0658,0.0658,0.0,0.0638,0.0658,0.0454
scancode,0.3342,0.031,0.3342,0.3342,0.3342,0.0,0.3342,0.3201,0.0001
cdxgen,0.929,0.0,0.929,0.929,0.929,0.0,0.0085,0.929,0.0
