tool,Name,spdxVersion,dataLicense,SPDXID,documentNamespace,creators,created,name,spdxid,downloadLocation,versionInfo,packageVerificationCode,originator,supplier,licenseConcluded,licenseDeclared,copyrightText,externalRefs,cpe,purl,file_name,file_spdxid,checksum
syft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0235,0.6626,0.0,0.4935,0.2426,0.0008,0.0921,0.0,48.9091,0.6618,0.6549,0.7437,0.7437,0.7437
gh-sbom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3376,1.0,0.0,0.0,0.0,0.3952,0.7329,0.3803,0.0,0.0,1.0,0.0,0.0,0.0
ort,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0946,0.6141,0.875,0.1723,0.1723,0.0,0.7405,0.7097,1.4106,0.0,0.1141,0.8022,0.8022,0.8022
sbom-tool,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0075,1.0,1.0,0.0,0.9391,0.0403,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
