tool,bomFormat,specVersion,version,serialNumber,timestamp,tools,name_com,version_com,bom_ref_com,names,author,type,bom_ref,purl,cpe,licenses,version,copyright
syft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6626,0.3598,0.6626,0.6626,0.6549,0.6618,0.3305,0.6626,0.0
gh-sbom,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.4851,1.0,0.0
ort,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1141,0.0,0.1141,0.1141,0.1141,0.0,0.1141,0.1141,0.1117
scancode,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.5622,0.4333,0.5622,0.5622,0.5622,0.0,0.5622,0.3455,0.004
cdxgen,1.0,1.0,1.0,1.0,1.0,1.0,0.6632,0.6527,0.6632,0.705,0.0,0.705,0.705,0.705,0.0,0.4482,0.705,0.0
