tool,name,spdxid,downloadLocation,versionInfo,packageVerificationCode,originator,supplier,licenseConcluded,licenseDeclared,copyrightText,externalRefs,cpe,purl,file_name,file_spdxid,checksum
syft,1.0,1.0,0.0235,0.5186,0.0,0.2426,0.2426,0.0008,0.0921,0.0,0.5178,7.7969,0.5049,0.7269,0.7269,0.7269
gh-sbom,1.0,1.0,0.3376,0.7876,0.0,0.0,0.0,0.2214,0.2174,0.1922,1.0,0.0,1.0,0.0,0.0,0.0
ort,1.0,1.0,0.0946,0.5597,0.8131,0.1461,0.1461,0.0,0.7405,0.7097,0.0964,0.0,0.0964,21.5034,21.5034,21.5034
sbom-tool,1.0,1.0,0.0075,1.0,0.9237,0.0,0.9391,0.0403,0.0,0.0,1.0,0.0,1.0,404.2966,404.2966,404.2966
