tool,Name,spdxVersion,dataLicense,SPDXID,documentNamespace,creators,created,name,spdxid,downloadLocation,versionInfo,packageVerificationCode,originator,supplier,licenseConcluded,licenseDeclared,copyrightText,externalRefs,cpe,purl,file_name,file_spdxid,checksum
syft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0198,0.6252,0.0,0.5117,0.3341,0.0005,0.0184,0.0,48.419,0.6223,0.5874,0.6854,0.6854,0.6854
gh-sbom,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4802,1.0,0.0,0.0,0.0,0.1996,0.6121,0.1996,0.0,0.0,1.0,0.0,0.0,0.0
ort,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.038,0.935,0.9038,0.0712,0.0712,0.0,0.8363,0.86,0.2792,0.0,0.0488,0.8938,0.8938,0.8938
sbom-tool,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0173,1.0,1.0,0.0,0.8869,0.0573,0.0,0.0,0.0019,0.0,1.0,1.0,1.0,1.0
