tool,names,author,type,bom_ref,purl,cpe,licenses,version,copyright
syft,0.6252,0.003,0.6252,0.6252,0.3876,0.4209,0.015,0.4245,0.0
gh-sbom,1.0,0.0,1.0,0.0,1.0,0.0,0.1162,1.0,0.0
ort,0.0488,0.0,0.0488,0.0488,0.0488,0.0,0.0396,0.0488,0.0358
scancode,0.2961,0.1142,0.2961,0.2961,0.2961,0.0,0.2961,0.1758,0.0111
cdxgen,0.6706,0.0,0.6706,0.6706,0.6706,0.0,0.0393,0.6706,0.0
