tool,bomFormat,specVersion,version,serialNumber,timestamp,tools,name_com,version_com,bom_ref_com,names,author,type,bom_ref,purl,cpe,licenses,version,copyright
syft,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.6252,0.0272,0.6252,0.6252,0.5874,0.6223,0.0699,0.6252,0.0
gh-sbom,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2241,1.0,0.0
ort,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0488,0.0,0.0488,0.0488,0.0488,0.0,0.0425,0.0488,0.0387
scancode,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.2961,0.1142,0.2961,0.2961,0.2961,0.0,0.2961,0.1758,0.0111
cdxgen,1.0,1.0,1.0,1.0,1.0,1.0,0.4204,0.3937,0.4204,0.6706,0.0,0.6706,0.6706,0.6706,0.0,0.1187,0.6706,0.0
